layer,cs_condition,comparison,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_sentences,n_matched_tok_mean
20,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6641583242727194,0.1373460138764457,0.5685046986012661,0.06047816516031185,999,17.504504504504503
21,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.21212736376047553,0.1381840011490144,0.39032901363645206,0.0778249354703663,999,11.558558558558559
21,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.6580792095706061,0.1740993253041126,0.5807367700944188,0.08070250800755026,999,11.558558558558559
21,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6286923512667268,0.16948759712170924,0.5521133760198347,0.09103295296156313,999,17.504504504504503
21,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6925512641916299,0.13419127290915545,0.5785476212341493,0.06215006167582149,999,17.504504504504503
22,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.2316932557514301,0.14824454831983935,0.3872782596521135,0.07885148771088704,999,11.558558558558559
22,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.6375753117279636,0.2332462115537287,0.5797110727403981,0.09367490469906167,999,11.558558558558559
22,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6669533037775391,0.1789332845410558,0.5494235631348644,0.09335976622346567,999,17.504504504504503
22,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7109478220858194,0.16211451527373436,0.5768783056415338,0.06549852491556217,999,17.504504504504503
23,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.29464554541231086,0.1668515727489139,0.39728390312467865,0.07943623912883205,999,11.558558558558559
23,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5961525184065066,0.26854802141222944,0.5764987029136565,0.08912312108241588,999,11.558558558558559
23,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7065690361612194,0.17333054694853442,0.5622396094469683,0.09653494544749469,999,17.504504504504503
