layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
13,cs_fr,english,EN_in_cs_fr_vs_english,0.6214813162265135,0.06239149566021961,0.7816010079643987,0.07130319876489705,999
13,cs_fr,french,EN_in_cs_fr_vs_french,0.6508566451778441,0.061335543145951646,0.8122299821288498,0.06904605034661296,999
14,cs_hi,english,EN_in_cs_hi_vs_english,0.40939547282943234,0.035083101578448475,0.3086030561760351,0.1112772970743293,999
14,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5720827583391557,0.07319829188794426,0.5654259584757879,0.20391157172158403,999
14,cs_fr,english,EN_in_cs_fr_vs_english,0.5931637370279701,0.06053163850753085,0.7080667584508031,0.09713965137595892,999
14,cs_fr,french,EN_in_cs_fr_vs_french,0.6235554430102819,0.06040212450115157,0.7466716937146507,0.09687017787880253,999
15,cs_hi,english,EN_in_cs_hi_vs_english,0.401550421053117,0.03162651464988736,0.4114590418656488,0.13289133828541888,999
15,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5366779762509843,0.06868512192805648,0.530232669023617,0.17158021823283773,999
15,cs_fr,english,EN_in_cs_fr_vs_english,0.5705275494155025,0.057357507924940446,0.7323400374050733,0.07514811311746332,999
15,cs_fr,french,EN_in_cs_fr_vs_french,0.5968664277026937,0.055546477548734756,0.7634024920465948,0.07032942851556839,999
16,cs_hi,english,EN_in_cs_hi_vs_english,0.3954547781888362,0.030273099861870247,0.22320258411559257,0.11044793973407863,999
16,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5390537693771339,0.06705247045395725,0.5143130177355094,0.20473650134493152,999
16,cs_fr,english,EN_in_cs_fr_vs_english,0.5535266488977538,0.05636168530538146,0.6201163071643065,0.11814448332404633,999
16,cs_fr,french,EN_in_cs_fr_vs_french,0.5847616663161459,0.05497897805418132,0.6747544617557598,0.11416589416832615,999
17,cs_hi,english,EN_in_cs_hi_vs_english,0.38482444063890936,0.02671983935153276,0.21743304369452823,0.12600336450635427,999
17,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5373845032739336,0.06562063502257559,0.5801011208636878,0.18273711530814443,999
17,cs_fr,english,EN_in_cs_fr_vs_english,0.5309975691531448,0.054123592981082456,0.5832282617926836,0.13485221642772963,999
17,cs_fr,french,EN_in_cs_fr_vs_french,0.558748581675607,0.053055707965546664,0.6449328377261176,0.12062957609976152,999
18,cs_hi,english,EN_in_cs_hi_vs_english,0.3992381717607965,0.02776912617992941,0.2306015595890999,0.1490962578278365,999
18,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5717065791035626,0.06780405310739857,0.6927146645145373,0.14602680371888385,999
18,cs_fr,english,EN_in_cs_fr_vs_english,0.5587132945077845,0.05478587289330404,0.6327759441402223,0.1258043343012685,999
18,cs_fr,french,EN_in_cs_fr_vs_french,0.5942522459693985,0.052162505576495155,0.7019398687388729,0.10837312475265676,999
19,cs_hi,english,EN_in_cs_hi_vs_english,0.37915384438233696,0.02317698240908838,0.26308104732911475,0.11220380727422972,999
19,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.6285919217545572,0.07704231365107429,0.8051599136761598,0.10993940939260458,999
19,cs_fr,english,EN_in_cs_fr_vs_english,0.565429700865106,0.055928966584806686,0.689141935005936,0.11649601175459931,999
19,cs_fr,french,EN_in_cs_fr_vs_french,0.6125441996563092,0.05572387294831369,0.7710403648015853,0.09794578627091279,999
20,cs_hi,english,EN_in_cs_hi_vs_english,0.385817415357274,0.02312171880290878,0.22852636687634545,0.10195105012726183,999
20,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.6246392819461823,0.07265076153339975,0.7352438063712211,0.13505632884376453,999
20,cs_fr,english,EN_in_cs_fr_vs_english,0.5552495382056127,0.05744177861993347,0.6399667811644328,0.12085549424423771,999
